year,avg_price,sales_count
1995,76110,144
1996,84834,167
1997,83361,195
1998,94430,217
1999,122966,204
2000,151116,169
2001,139543,211
2002,176849,200
2003,199362,171
2004,236351,175
2005,218783,189
2006,242169,207
2007,272999,207
2008,266201,101
2009,246012,107
2010,245591,110
2011,276512,110
2012,254102,103
2013,254565,137
2014,279441,162
2015,267835,168
2016,315180,204
2017,322337,203
2018,328214,222
2019,318643,290
2020,432704,242
2021,421033,348
2022,445181,218
2023,404280,179
2024,376422,180
2025,440544,96
