year,mean_price,std_price,volume,percentile_99,num_properties
1995,72748.54505535398,69749.7066050744,53745,350000.0,52880
1996,79702.03465951423,79206.0161456046,67110,380000.0,65959
1997,88496.70248789797,92709.44340200584,85936,429950.0,84304
1998,98324.35254540862,112094.8048511761,87098,480000.0,85678
1999,90691.29193559346,71466.18250052941,14719,345000.0,14498
2000,104988.50809264685,109179.18354778754,14334,435000.0,14098
2001,141742.1585764918,140420.78950985428,110319,650000.0,108249
2002,161164.6817344403,145358.0092724213,127557,676100.0000000058,124390
2003,173710.03425251832,145261.01182200268,121013,700000.0,118424
2004,192042.8646123369,159893.7939139008,128217,760000.0,125516
2005,191889.4359472724,157965.77110793084,92096,726550.0000000029,90774
2006,207180.30524239008,172823.98407460283,134824,810000.0,132551
2007,225461.80591516476,201894.54895536217,153639,930000.0,150326
2008,225993.05148582868,236316.13027278712,84431,1000000.0,83090
2009,201489.40190751446,175739.62701302904,17300,825000.0,17193
2010,208763.76347662913,147406.68781830775,11724,760000.0,11631
2011,210057.53222945004,175705.39994164815,11837,796396.7999999942,11760
2012,211239.45204322864,172067.97063620313,11844,800000.0,11797
2013,232978.39139979339,659830.9456392501,15488,915000.0,15403
2014,243700.74523968998,507268.6787488011,20902,1000000.0,20714
2015,251543.6300946061,426455.11993910826,22303,1095000.0,21991
2016,287981.6153020241,2310814.65851298,25147,1200000.0,24558
2017,427752.7113109906,5948239.1198046105,24348,1550000.0,23838
2018,287610.1664172901,605194.5072404809,24060,1474910.0,23670
2019,315302.10064611246,1343487.1798535108,23061,1597000.0000000072,22718
2020,341504.7487434635,1253450.5364870615,19697,1650800.0000000175,19484
2021,343906.089200753,1349725.6158416271,29215,1504860.0000000005,28880
2022,371140.1777445855,1722255.0594830932,25441,1750000.0,25178
2023,339270.0845805778,1169202.7933811243,20111,1599300.0000000102,19897
2024,336246.7899509804,1068119.3526335885,20400,1525049.999999992,20216
2025,310055.7602584543,680179.7871754629,11917,1251556.5200000003,11873
