year,mean_price,area
1995,63255.23214419827,BS
1996,65134.427450521136,BS
1997,70907.92701724952,BS
1998,77640.99984404242,BS
1999,87662.60546289355,BS
2000,101169.40173271298,BS
2001,115805.14205538688,BS
2002,139451.49901292176,BS
2003,160279.58600731113,BS
2004,177013.25231090348,BS
2005,183448.30915948277,BS
2006,195137.97603063946,BS
2007,214633.58995338218,BS
2008,204251.66889908258,BS
2009,195492.1654989747,BS
2010,213577.86429780035,BS
2011,208637.04155518394,BS
2012,211469.24740996546,BS
2013,216335.5367307829,BS
2014,232671.05212437117,BS
2015,250645.53581972644,BS
2016,273420.5025894108,BS
2017,289321.4328531315,BS
2018,300243.3794346424,BS
2019,304337.162601626,BS
2020,323741.1560375773,BS
2021,340635.92144144146,BS
2022,361609.4537430948,BS
2023,365418.5691943128,BS
2024,367977.9803022329,BS
2025,370247.1481365813,BS
