year,mean_absolute_error,rmse,mean_error_percentage,transaction_count
1997,10201.142987784693,16587.51615277521,0.13695450815299762,3068
1998,10305.342706952122,16085.118133274655,0.13618648308556866,8343
1999,8293.601959507761,13948.677794145502,0.10705272998512398,2295
2000,8063.281492240698,12656.954009265919,0.10259503522998766,3084
2001,20335.725700264742,29069.753779427552,0.1939691592302242,21141
2002,17400.969682363626,27535.028319396864,0.13855707506045709,27287
2003,15187.622737271013,27357.86417412236,0.09883243727080104,29000
2004,19529.537038716342,33793.71544452072,0.10745708823815481,33944
2005,18020.58876721658,30912.008652527365,0.09634249326365667,27508
2006,24270.185659696708,39775.621702238495,0.11733961926155201,41167
2007,24475.52363614296,38047.62828478792,0.11632306582503929,42869
2008,22497.07431600806,37576.0636468599,0.1095174338823769,19620
2009,21022.856573743797,34072.62514435907,0.11433965436962427,4030
2010,20299.738555927983,30041.815382590008,0.111852710541402,3086
2011,19043.89734733804,28987.92983215041,0.10830385056275724,2983
2012,19430.66746613926,30004.12430078308,0.11540538002064833,3169
2013,20209.345225705172,29442.31898422858,0.1224570550089423,4046
2014,21241.08676258972,32815.36113191814,0.11839977269246046,5364
2015,22341.23603099645,33960.61364319048,0.1162978286975979,5423
2016,24400.902646384846,36966.47023271195,0.1229408734086326,5789
2017,23437.45808605547,34801.51937960791,0.11379302777145782,5629
2018,23330.90054031836,35221.11400304018,0.10846522482390099,5493
2019,23402.641782007988,35901.538649699534,0.10940567135752303,5071
2020,27049.28607300552,41020.39410135858,0.12090542950722415,4572
2021,29547.516994203732,42468.18570488449,0.1264670576193675,7459
2022,29583.200632168926,44639.265830924494,0.1230427657637217,6713
2023,31691.076607240506,48253.566492541184,0.13004021798364976,5029
2024,28687.065095500555,42815.2617946993,0.1199998301780465,5409
2025,30020.56825403792,45896.0753675842,0.11992938367545719,4450
