year,mean_price,std_price,volume,num_properties,max_price_paid
1995,66799.51742089253,44516.842539089295,31887,31033,347200
1996,72261.32144186163,50724.87387549606,40309,39188,375000
1997,80355.9416078879,58503.6713605762,53449,51869,428000
1998,88219.01597133443,65274.07013467027,55537,54153,477500
1999,85210.65722355357,54021.47618798226,11684,11465,343461
2000,96823.3668592437,64793.49099511002,11424,11191,433000
2001,127664.99457854833,89614.20089705376,71752,69720,647500
2002,146935.1622462956,96170.40371055667,80310,77182,675000
2003,157756.05220288783,93567.50040372317,72927,70367,699950
2004,174508.17975665195,98405.6022150666,74790,72116,759000
2005,178262.69336196434,96644.56935604465,53555,52243,726500
2006,195439.18769009341,111426.7477111572,73648,71404,809750
2007,215360.22275428678,129218.89444423038,76223,72952,927115
2008,213809.40647441012,137210.78644679373,35092,33759,995000
2009,188497.1688875429,113245.91924548769,9906,9800,820000
2010,196762.79997652306,114722.05579300551,8519,8427,750000
2011,192909.2164471342,113982.69253486434,8427,8350,785000
2012,193575.27552231718,115731.36171488381,8424,8377,795000
2013,200808.43385304828,122420.47714854254,10711,10628,910000
2014,208621.45141880342,134098.55457161638,14625,14439,990000
2015,215254.6971421011,137526.07595329062,15116,14809,1080000
2016,228838.82407578273,151502.27794093842,16257,15672,1185000
2017,236115.5227360806,164297.297587789,15482,14986,1512525
2018,238484.52255690336,161967.4672354951,14674,14291,1400000
2019,242261.5726780817,172649.6297025969,13491,13157,1595000
2020,256800.45724242696,188067.5577699357,11191,10990,1600000
2021,272209.87056354916,188814.59774033964,16680,16350,1504000
2022,271487.6323261002,197880.26489512352,14793,14542,1725000
2023,263805.65227130183,189902.2950184021,11161,10954,1593000
2024,272178.76320168143,193534.18419170045,11419,11240,1520000
2025,268672.9737783075,174542.41411250798,8390,8349,1250000
