year,mean_price,std_price,volume,q1,median,q3,percentile_99,num_properties
1995,67255.90077646247,49449.02454500596,762561,40000.0,55000.0,78500.0,256000.0,751220
1996,70682.71227008912,52554.875974717244,921444,41000.0,57000.0,83000.0,275000.0,907484
1997,77234.64713848248,59191.06063006504,1045634,43800.0,60000.0,90000.0,307500.0,1029494
1998,83728.77903659297,65951.14225631293,1003854,45500.0,65500.0,98000.0,345000.0,989563
1999,92856.22703868525,71479.93599455796,1090519,50000.0,73250.0,114000.0,370000.0,1073959
2000,103430.3609398727,81764.58620667022,1027969,53500.0,80750.0,128000.0,420000.0,1012548
2001,115693.57017642866,90637.47981732918,1187222,59372.75,90000.0,143000.0,475000.0,1170345
2002,134473.1398192091,100145.87740686984,1285131,69950.0,111000.0,168500.0,517262.49999998254,1262840
2003,152562.24367590368,104295.3888722344,1171195,84950.0,130000.0,189995.0,550000.0,1151679
2004,174411.06232630083,110022.74410585313,1161131,104500.0,150000.0,215000.0,600000.0,1140263
2005,183848.45310500648,111826.54871989693,994072,114500.0,158000.0,225000.0,625000.0,980553
2006,196427.88398374952,118742.16873102348,1244024,120000.0,166995.0,237000.0,672385.0000000093,1226503
2007,209394.29658045984,127640.79290018626,1193757,125000.0,175750.0,249950.0,725000.0,1176216
2008,205024.07076819162,129320.71178502763,607010,122050.0,170000.0,247500.0,730000.0,599618
2009,200645.87379713697,124218.15262420819,566461,122000.0,169000.0,242000.0,695000.0,561424
2010,217320.23647971687,136665.09624394547,597861,125000.0,182000.0,262500.0,740000.0,592987
2011,213099.49713796607,137487.99316271098,598176,123500.0,176000.0,250000.0,747125.0,593488
2012,217452.69564085602,139395.74389135948,603123,125000.0,180000.0,262500.0,750000.0,600476
2013,223658.24110316415,144130.72619137276,712641,125000.0,185000.0,272995.0,775000.0,709483
2014,235835.3021374668,151632.31246639704,822235,133000.0,194950.0,290000.0,800000.0,818650
2015,249654.6714710124,158163.578419715,820299,139950.0,208000.0,315000.0,820000.0,816778
2016,260224.42225813682,163383.66269182222,829746,144000.0,219000.0,330000.0,830000.0,826599
2017,268258.5401353767,165636.27875365273,829094,149950.0,227500.0,341000.0,840000.0,826600
2018,273533.25390089327,165635.65815548485,801419,154995.0,234995.0,350000.0,842000.0,799321
2019,277214.3172278034,166200.64798224717,771143,158000.0,238000.0,350000.0,850000.0,769407
2020,296128.445998695,174281.4483551647,686576,169950.0,255000.0,379500.0,870000.0,685192
2021,314886.0604461069,179464.5524984507,992901,182000.0,275000.0,400000.0,888750.0,990402
2022,325704.98679207644,183335.6595887743,827155,190000.0,285000.0,417500.0,900000.0,825566
2023,324057.55580533115,182947.6344329718,640575,189950.0,283000.0,415000.0,900000.0,639610
2024,328454.5351551844,181330.08511138856,681834,195000.0,288000.0,419706.0,900000.0,680923
2025,331331.69884185935,181450.51966157823,481116,199495.0,290000.0,420000.0,900000.0,480665
