bin_end,count
10000,2785
20000,11970
30000,30236
40000,52569
50000,55110
60000,78408
70000,61196
80000,69257
90000,73989
100000,70880
110000,63526
120000,75219
130000,77935
140000,68995
150000,68789
160000,60163
170000,58987
180000,55689
190000,48554
200000,44822
210000,32624
220000,34668
230000,33950
240000,30636
250000,53238
260000,10451
270000,17716
280000,20072
290000,17447
300000,18117
310000,12000
320000,13328
330000,13309
340000,10381
350000,12018
360000,8446
370000,8069
380000,9065
390000,7613
400000,8590
410000,4986
420000,5628
430000,5963
440000,4713
450000,5504
460000,3508
470000,3479
480000,4324
490000,3591
500000,6780
510000,1102
520000,1910
530000,2663
540000,2177
550000,2965
560000,1580
570000,1684
580000,2173
590000,1709
600000,2643
610000,1049
620000,1378
630000,1683
640000,1202
650000,1979
660000,887
670000,896
680000,1339
690000,897
700000,1508
710000,656
720000,752
730000,1049
740000,696
750000,1323
760000,556
770000,567
780000,773
790000,544
800000,1012
810000,354
820000,417
830000,617
840000,482
850000,803
860000,371
870000,327
880000,547
890000,284
900000,732
910000,194
920000,274
930000,454
940000,259
950000,543
960000,193
970000,200
980000,351
990000,183
1000000,687
