transaction_year,count_all,count_cleaned
1995,797095,762561
1996,965344,921444
1997,1094577,1045634
1998,1050623,1003854
1999,1194995,1090519
2000,1129488,1027969
2001,1245948,1187222
2002,1351883,1285131
2003,1235560,1171195
2004,1232088,1161131
2005,1061652,994072
2006,1326161,1244024
2007,1272422,1193757
2008,649684,607010
2009,625342,566461
2010,663314,597861
2011,661233,598176
2012,668947,603123
2013,811126,712641
2014,985115,822235
2015,1011263,820299
2016,1046176,829746
2017,1067399,829094
2018,1037447,801419
2019,1011827,771143
2020,896674,686576
2021,1280231,992901
2022,1074566,827155
2023,857485,640575
2024,913320,681834
2025,594319,481116
