year,mean_absolute_error,rmse,mean_absolute_error_percentage,absolute_error_percentage_q1,absolute_error_percentage_q3,transaction_count
1997,10150.427185074857,19672.942071493402,0.10193688967613496,0.0336828,0.13166535,3753
1998,9080.497947777154,16729.297476107964,0.09792246260344277,0.03210793,0.121988416,10229
1999,8298.260332785138,13565.503502685578,0.11298512510758527,0.035153575,0.13641638,2798
2000,14141.894099128895,22030.10400038599,0.1353754809963295,0.06667965,0.17649943,3756
2001,19388.234527362853,28984.056786646863,0.13570872857811567,0.073956,0.1787169,25766
2002,14906.983100555595,24029.017198917638,0.10707438402796551,0.039538592,0.13845089,33472
2003,14697.607795786005,24678.75890104775,0.0961870961292728,0.03529667,0.12583512,36272
2004,16772.413710527962,27009.128893178142,0.09787524189444363,0.03605275,0.13197449,43971
2005,18329.78654612436,30779.396010219483,0.09817757329769962,0.03355962,0.13141954,36115
2006,18791.29511032567,31254.769535691157,0.09376711446206855,0.032731276,0.12738247,54764
2007,21405.502137911815,34408.60667487239,0.09671234696312063,0.034587227,0.13139623,59026
2008,23257.383662706514,38052.03681281483,0.11314605775244028,0.036158204,0.14363492,27344
2009,26683.441692901004,39973.507287469445,0.15424188532095337,0.05307638,0.20362486,5812
2010,18713.95334168148,29590.20094682435,0.10140209415033415,0.034276363,0.13146877,4570
2011,20096.46669446395,29976.29556775714,0.11751285408561372,0.03765968,0.15300015,4539
2012,20194.99899603396,30592.993365588274,0.12170063944780414,0.036763962,0.15982372,4704
2013,19387.116951252614,30208.76467942022,0.11678881671953888,0.034691934,0.15154874,6217
2014,21094.74468936567,33489.49511103179,0.11714647551933556,0.03460373,0.14899173,8375
2015,22375.948810047787,34225.16518900434,0.11754436233640496,0.036609776,0.15187305,8449
2016,24703.823323368735,37550.95085971671,0.1200932630344331,0.04052763,0.15839553,8998
2017,24127.0465594883,35311.991202862766,0.11999687941091486,0.038605683,0.15773065,8716
2018,23722.336540836674,35327.6521276808,0.1165796957392494,0.036217872,0.15192838,8666
2019,23895.80537322729,36450.78687831316,0.12100254637399795,0.034954697,0.15791167,7827
2020,25453.06863032059,39120.52575234017,0.11771462356346975,0.034605462,0.15165292,6913
2021,28114.81069229448,42024.70715477736,0.12298300030988116,0.03636276,0.15952136,11188
2022,29638.207182970586,43843.767314412136,0.13344753746576782,0.040174216,0.17025164,10556
2023,29930.208767875232,45351.14138496412,0.14083913141350826,0.038889255,0.17325354,8020
2024,29910.44666057337,44277.751104296774,0.13541105744859522,0.03824997,0.1636384,8522
2025,29016.458296587076,43800.37019412398,0.13228072714288236,0.03528522,0.15992874,6892
