model,year,mean_absolute_error,rmse,mean_absolute_error_percentage,absolute_error_percentage_q1,absolute_error_percentage_q3,transaction_count
national,1997,7837.147175827605,16563.582489429256,0.10011526512356458,0.027010767446380694,0.12831383094313992,37183
national,1998,7653.4472554906715,15609.084689606654,0.09464161531219353,0.02762937996673655,0.1122724817247166,94528
national,1999,8628.152736401322,16397.486624497946,0.09887002918628407,0.030252049109378853,0.11888808554209677,67846
national,2000,10656.331404595934,19204.348225413025,0.1048103768053434,0.036206090780628114,0.13217530250458442,127085
national,2001,11649.388532585666,20283.308983708048,0.10743771508013095,0.0373362834730035,0.13538240141555874,286031
national,2002,15124.180911546362,23876.708253817036,0.11985051672268225,0.04707791129514048,0.15429623279619234,370629
national,2003,15598.600858973983,23560.165574949955,0.11509790348358367,0.0479630993532507,0.14568801597698405,402689
national,2004,16938.159205856064,25325.936365228794,0.11165430483675051,0.043764658039519365,0.14727942852637044,453696
national,2005,16654.168919379066,26584.80393388127,0.09907599265086749,0.035288720697041046,0.131032914691128,401393
national,2006,17675.00345899345,28184.768814753614,0.09683934797473252,0.03433656428402171,0.12887451474741246,552426
national,2007,18655.03209698167,29630.05556731985,0.09627331997414608,0.03314295056658659,0.127090202661079,550291
national,2008,21038.82927606216,33462.79054073495,0.10931879110655747,0.036529433138800166,0.14227414579730266,260401
national,2009,25323.788610879492,38280.28975686758,0.12854920452343158,0.04682020760492488,0.17027761130871452,144931
national,2010,20653.95768162821,32704.51664817155,0.0970656918171926,0.03341021248077829,0.12811472937185922,155823
national,2011,25403.721087653576,37645.5987538869,0.1251917319067875,0.045830362425474294,0.16833638102195275,159709
national,2012,22796.821037390873,34746.450088350255,0.1096238967406146,0.03865255674826395,0.14973145942832267,165139
national,2013,22568.891233490038,35086.058610708256,0.10658721696271968,0.036026704938370555,0.14486168452027798,212361
national,2014,23039.36581622419,37412.346978302245,0.09921080844549872,0.03354557104450038,0.13422043277091344,272511
